Image Name,ID,CTE,Yaw
image_00165.png,166,-0.15380473,2.5443986208113385
image_00166.png,167,-0.15380473,4.221085744715571
image_00167.png,168,-0.16669373,4.9068793327454765
image_00168.png,169,-0.16669373,4.9068793327454765
image_00169.png,170,-0.16669373,4.9068793327454765
image_00170.png,171,-0.16669373,4.9068793327454765
image_00171.png,172,-0.15380473,4.221085744715571
image_00172.png,173,-0.15380473,4.221085744715571
image_00173.png,174,-0.15380473,4.221085744715571
image_00174.png,175,-0.14661896,2.5443986208113385
image_00175.png,176,0.084041074,-4.5077043518317215
image_00176.png,177,0.1347391,-8.365172673682961
image_00177.png,178,0.1347391,-8.365172673682961
image_00178.png,179,0.1347391,-8.365172673682961
image_00179.png,180,0.1347391,-8.365172673682961
image_00180.png,181,0.1347391,-8.365172673682961
image_00181.png,182,0.1347391,-8.365172673682961
image_00182.png,183,0.1347391,-8.365172673682961
image_00183.png,184,0.1347391,-6.43039415871995
image_00184.png,185,0.12032785,-4.5077043518317215
image_00185.png,186,0.048918437,-4.024897643252174
image_00186.png,187,-0.0015562776,-1.6865453527163092
image_00187.png,188,-0.033131346,-1.3818818385609064
image_00188.png,189,-0.06127051,-0.9502690447879065
image_00189.png,190,-0.081868954,-0.7489008088573541
image_00190.png,191,-0.08815192,0.9707430319091642
image_00191.png,192,-0.08815192,0.9707430319091642
image_00192.png,193,-0.08815192,0.9707430319091642
image_00193.png,194,-0.08815192,0.9707430319091642
image_00194.png,195,-0.08815192,-0.7489008088573541
image_00195.png,196,-0.08815192,-0.9502690447879065
image_00196.png,197,-0.08815192,-0.9502690447879065
image_00197.png,198,-0.08815192,-0.9502690447879065
image_00198.png,199,-0.09400431,-0.7489008088573541
image_00199.png,200,-0.094051816,0.4405143059156781
image_00200.png,201,-0.111992545,0.4405143059156781
image_00201.png,202,-0.11630663,0.4405143059156781
image_00202.png,203,-0.12815908,0.7902822049767966
image_00203.png,204,-0.12815908,0.7902822049767966
image_00204.png,205,-0.12815908,0.7902822049767966
image_00205.png,206,-0.111992545,0.4405143059156781
